,item,similar_items
0,108775015,"[108775015, 108775051, 479227020, 377277001, 377277024]"
1,108775044,"[108775051, 108775015, 479227020, 377277002, 377277001]"
2,108775051,"[108775051, 108775015, 479227020, 377277002, 377277036]"
3,110065001,"[110065001, 153115019, 253448001, 110065002, 153115021]"
4,110065002,"[110065002, 153115021, 253448002, 253448056, 110065001]"
5,110065011,"[110065011, 153115020, 253448003, 110065002, 153115021]"
6,111565001,"[228257001, 228257005, 228257003, 111565003, 228257004]"
7,111565003,"[111565003, 228257003, 228257004, 228257005, 228257001]"
8,111586001,"[111586001, 266168001, 164912035, 266168003, 297067002]"
9,111593001,"[111593001, 240561001, 417951001, 243937001, 243937025]"
10,111609001,"[228257001, 228257005, 228257003, 111565003, 228257004]"
11,112679048,"[112679048, 347983047, 487275022, 347983043, 487275012]"
12,112679052,"[112679052, 347983039, 347983037, 487275010, 487275019]"
13,114428026,"[114428026, 471074012, 470789020, 470789003, 327310002]"
14,114428030,"[114428026, 471074012, 470789003, 470789020, 327310001]"
15,116379047,"[116379047, 396135058, 396135023, 396135041, 396135044]"
16,118458003,"[118458029, 118458038, 441386001, 422106016, 422106015]"
17,118458004,"[118458029, 118458038, 441386001, 422106015, 422106016]"
18,118458028,"[118458038, 118458029, 441386001, 422106001, 422106016]"
19,118458029,"[118458029, 118458038, 441386001, 422106016, 422106015]"
20,118458034,"[118458038, 118458029, 441386001, 422106017, 422106001]"
21,118458038,"[118458038, 118458029, 441386001, 422106016, 422106015]"
22,118458039,"[118458039, 118458034, 441386013, 118458038, 118458029]"
23,120129001,"[120129001, 198714001, 120129014, 120129025, 120129018]"
24,120129014,"[120129014, 120129025, 120129001, 198714001, 120129018]"
25,120129018,"[120129018, 120129014, 120129001, 198714006, 198714001]"
26,120129025,"[120129025, 120129014, 120129001, 198714001, 120129018]"
27,123173001,"[123173001, 436261001, 179208008, 324946001, 457466001]"
28,126589006,"[214844002, 214844008, 186262013, 478646001, 453453032]"
29,126589007,"[214844002, 214844008, 186262013, 478646001, 453453032]"
30,126589010,"[214844008, 214844002, 186262013, 478646001, 453453032]"
31,126589011,"[186262013, 214844002, 214844008, 478646001, 453453032]"
32,126589012,"[214844002, 186262013, 214844008, 478646001, 453453032]"
33,129085001,"[129085001, 129085026, 129085027, 488564005, 488564006]"
34,129085026,"[129085026, 129085001, 129085027, 488564005, 488564006]"
35,129085027,"[129085027, 129085026, 129085001, 488564005, 488564006]"
36,130035001,"[130035001, 349080001, 190021003, 179393001, 190021001]"
37,141661022,"[141661025, 427948003, 427948004, 483645004, 483645007]"
38,141661025,"[141661025, 427948004, 427948003, 453239044, 483645004]"
39,144993001,"[215589001, 362219002, 341129001, 215589002, 362219001]"
40,145872001,"[145872001, 145872043, 145872051, 145872037, 145872053]"
41,145872037,"[145872037, 145872053, 145872051, 145872043, 145872001]"
42,145872043,"[145872043, 145872001, 145872037, 145872053, 145872051]"
43,145872051,"[145872051, 145872001, 145872037, 145872053, 145872043]"
44,145872052,"[145872052, 449123036, 449123052, 475973006, 341242006]"
45,145872053,"[145872037, 145872053, 145872051, 145872043, 145872001]"
46,146706001,"[146706001, 348330027, 483645004, 483645007, 348330031]"
47,146706004,"[146706001, 348330027, 483645004, 483645007, 348330031]"
48,146706005,"[347975001, 462435036, 348330043, 462435030, 348330045]"
49,146721001,"[146721001, 146721002, 354041001, 378719001, 488682003]"
50,146721002,"[146721002, 146721001, 488682003, 354041001, 378719001]"
51,146730001,"[146730001, 228257001, 228257005, 111565003, 228257003]"
52,147339034,"[472064016, 472064008, 472064005, 348995028, 462435009]"
53,148033001,"[148033006, 432566004, 304692003, 304766009, 346539017]"
54,148033006,"[148033006, 432566004, 304692003, 432566006, 304766009]"
55,150959011,"[150959011, 150959013, 261606001, 261606016, 480059005]"
56,150959013,"[150959013, 150959011, 261606001, 261606016, 480059005]"
57,153115019,"[153115019, 110065001, 253448001, 153115021, 110065002]"
58,153115020,"[110065011, 153115021, 110065002, 153115040, 253448056]"
59,153115021,"[153115021, 110065002, 253448002, 253448056, 153115019]"
60,153115039,"[153115039, 153115043, 253448062, 153115040, 253448059]"
61,153115040,"[153115040, 253448059, 153115043, 110065011, 153115021]"
62,153115043,"[153115043, 153115040, 253448059, 110065011, 153115021]"
63,156224001,"[156224001, 156227002, 156227001, 156231001, 156231002]"
64,156224002,"[156224002, 480093001, 183815013, 483597002, 483597003]"
65,156227001,"[156227001, 156231001, 156227002, 156224001, 349080001]"
66,156227002,"[156227002, 156224001, 156227001, 156231001, 349080001]"
67,156231001,"[156231001, 156227001, 156227002, 156224001, 349080001]"
68,156231002,"[156231002, 156224001, 156227002, 156231001, 156227001]"
69,156289011,"[156289011, 481912016, 481912017, 481912015, 481912009]"
70,156610001,"[156610001, 290675006, 449123026, 449123028, 449123002]"
71,156610007,"[156610007, 156610010, 478004012, 254303054, 254303056]"
72,156610010,"[156610010, 156610007, 478004012, 254303054, 254303056]"
73,158340001,"[158340001, 297078008, 342060001, 201219001, 297078002]"
74,160442007,"[160442007, 160442010, 228257001, 228257005, 111565003]"
75,160442010,"[160442010, 160442007, 111565003, 228257001, 228257003]"
76,160442042,"[266875001, 243937028, 297067003, 297067002, 417951005]"
77,160442043,"[160442010, 160442007, 228257005, 111565003, 228257003]"
78,162074062,"[162074071, 162074069, 305584002, 447596001, 468977001]"
79,162074069,"[162074069, 162074071, 305584002, 447596001, 359909015]"
80,162074071,"[162074071, 162074069, 305584002, 447596001, 359909015]"
81,163734002,"[163734002, 163734054, 288859004, 288859017, 288859009]"
82,163734054,"[163734054, 483749014, 487750037, 487750042, 487750005]"
83,164912035,"[164912035, 266168001, 266168003, 111586001, 164912039]"
84,164912039,"[164912039, 164912035, 266168001, 266168003, 408554006]"
85,174057022,"[174057022, 174057033, 174057040, 174057027, 174057030]"
86,174057026,"[174057022, 174057033, 174057040, 174057027, 174057030]"
87,174057027,"[174057027, 174057022, 174057033, 174057030, 174057040]"
88,174057029,"[174057040, 174057022, 174057033, 174057027, 174057030]"
89,174057030,"[174057030, 174057027, 174057040, 174057022, 174057033]"
90,174057032,"[174057027, 174057022, 174057033, 174057030, 174057040]"
91,174057033,"[174057022, 174057033, 174057040, 174057027, 174057030]"
92,174057035,"[174057027, 174057030, 174057022, 174057033, 174057040]"
93,174057036,"[174057040, 174057022, 174057033, 174057030, 174057027]"
94,174057037,"[174057027, 174057030, 174057040, 174057022, 174057033]"
95,174057038,"[174057040, 174057022, 174057033, 174057030, 174057027]"
96,174057039,"[174057027, 174057030, 174057040, 174057022, 174057033]"
97,174057040,"[174057040, 174057022, 174057033, 174057027, 174057030]"
98,176209023,"[176209023, 176209046, 176209035, 176209033, 176209044]"
99,176209025,"[176209025, 176209039, 176209033, 176209044, 176209046]"
100,176209033,"[176209033, 176209044, 176209025, 176209039, 176209046]"
101,176209035,"[176209035, 176209046, 176209023, 176209033, 176209044]"
102,176209039,"[176209025, 176209039, 176209033, 176209044, 176209046]"
103,176209040,"[176209040, 176209044, 176209023, 176209033, 176209025]"
104,176209044,"[176209044, 176209033, 176209025, 176209039, 176209046]"
