,article_id,price,prod_name,product_group_name,detail_desc
0,108775015,0.008141581160034267,Strap top,Garment Upper body,Jersey top with narrow shoulder straps.
1,108775044,0.008113954412624132,Strap top,Garment Upper body,Jersey top with narrow shoulder straps.
2,108775051,0.004979739850216709,Strap top (1),Garment Upper body,Jersey top with narrow shoulder straps.
3,110065001,0.020219105136697134,OP T-shirt (Idro),Underwear,"Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
4,110065002,0.018205465236942192,OP T-shirt (Idro),Underwear,"Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
5,110065011,0.018509765199813354,OP T-shirt (Idro),Underwear,"Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
6,111565001,0.006903940997207866,20 den 1p Stockings,Socks & Tights,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
7,111565003,0.00827413411938092,20 den 1p Stockings,Socks & Tights,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
8,111586001,0.012036285829285414,Shape Up 30 den 1p Tights,Garment Lower body,Tights with built-in support to lift the bottom. Black in 30 denier and light amber in 15 denier.
9,111593001,0.012184689379442282,Support 40 den 1p Tights,Socks & Tights,"Semi shiny tights that shape the tummy, thighs and calves while also encouraging blood circulation in the legs. Elasticated waist."
10,111609001,0.010204687041238445,200 den 1p Tights,Socks & Tights,Opaque matt tights. 200 denier.
11,112679048,0.011112994350282434,SWEATSHIRT  OC,Garment Upper body,Sweatshirt in soft organic cotton with a  press-stud on one shoulder (sizes 12-18 months and 18-24 months without a press-stud). Brushed inside.
12,112679052,0.0077796610169490995,SWEATSHIRT  OC,Garment Upper body,Sweatshirt in soft organic cotton with a  press-stud on one shoulder (sizes 12-18 months and 18-24 months without a press-stud). Brushed inside.
13,114428026,0.0097796610169491,Alice BANDEAU 2-p,Underwear,Two soft bandeau bras in soft jersey with side support and a silicone trim at the top.
14,114428030,0.011628461151199821,Alice BANDEAU 2-p,Underwear,Two soft bandeau bras in soft jersey with side support and a silicone trim at the top.
15,116379047,0.011090282485875659,Frugan longsleeve,Garment Upper body,Fitted top in soft stretch jersey with a wide neckline and long sleeves.
16,118458003,0.022337099811676028,Jerry jogger bottoms,Garment Lower body,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
17,118458004,0.0273172439204126,Jerry jogger bottoms,Garment Lower body,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
18,118458028,0.024814527845036256,Jerry jogger bottoms,Garment Lower body,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
19,118458029,0.03027468388485332,Jerry jogger bottoms,Garment Lower body,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
20,118458034,0.014672316384180767,Jerry jogger bottoms,Garment Lower body,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
21,118458038,0.032024025012341535,Jerry jogger bottoms,Garment Lower body,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
22,118458039,0.021408171009359905,Jerry jogger bottoms,Garment Lower body,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
23,120129001,0.016095702466061516,Babette long,Garment Lower body,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
24,120129014,0.015703179181385078,Babette long,Garment Lower body,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
25,120129018,0.01571405782652042,Babette long,Garment Lower body,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
26,120129025,0.01651578766239351,Babette long,Garment Lower body,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
27,123173001,0.01216083202611875,Control Top 50 den 1p Tights,Garment Lower body,50 denier tights with reinforcement at the top for a shaping effect on the tummy and thighs.
28,126589006,0.004198231392778122,2p Claw,Accessories,Plastic hair claws. Width 3.5 cm.
29,126589007,0.004371039056742745,2p Claw,Accessories,Plastic hair claws. Width 3.5 cm.
30,126589010,0.0042775208140609835,2p Claw,Accessories,Plastic hair claws. Width 3.5 cm.
31,126589011,0.00155932203389825,2p Claw,Accessories,Plastic hair claws. Width 3.5 cm.
32,126589012,0.0008305084745762,2p Claw,Accessories,Plastic hair claws. Width 3.5 cm.
33,129085001,0.014643834996346304,Pirate Leggings (1),Garment Lower body,3/4-length leggings in stretch jersey with an elasticated waist.
34,129085026,0.014820207619108622,Pirate Leggings (1),Garment Lower body,3/4-length leggings in stretch jersey with an elasticated waist.
35,129085027,0.016462072797999428,Pirate Leggings (1),Garment Lower body,3/4-length leggings in stretch jersey with an elasticated waist.
36,130035001,0.011506666493229402,Black Umbrella,Items,Umbrella with a telescopic handle and matching cover. Length 23 cm folded.
37,141661022,0.0084745762711864,Velour pyjama,Nightwear,"Velour pyjamas with an appliqué detail at the front and on the feet, and press-studs along one side and leg."
38,141661025,0.0084745762711864,Velour pyjama,Nightwear,"Velour pyjamas with an appliqué detail at the front and on the feet, and press-studs along one side and leg."
39,144993001,0.014308341705285646,Mama 100 den 1p Tights,Socks & Tights,Matt tights with an elasticated waist and extra space for a growing tummy. 100 denier.
40,145872001,0.022888191392899437,Dorian l/s basic,Garment Upper body,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
41,145872037,0.019056625577811973,Dorian l/s basic,Garment Upper body,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
42,145872043,0.022507081495240253,Dorian l/s basic,Garment Upper body,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
43,145872051,0.02432641729982462,Dorian l/s basic,Garment Upper body,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
44,145872052,0.02529502118644062,Dorian l/s basic,Garment Upper body,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
45,145872053,0.025055084745762658,Dorian l/s basic,Garment Upper body,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
46,146706001,0.012661164333087654,Tanktop body white 3PACK,Garment Upper body,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
47,146706004,0.012932360326428086,Tanktop body white 3PACK,Garment Upper body,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
48,146706005,0.01388135593220335,3P TANKTOP BODY,Garment Upper body,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
49,146721001,0.0020188323917136827,Hair Ring,Accessories,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
50,146721002,0.0026952126077905997,Hair Ring,Accessories,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
51,146730001,0.009737125226908484,200 den 1p leggings,Garment Lower body,Opaque matt leggings with an elasticated waist. 200 denier.
52,147339034,0.02147457627118641,6P SS BODY,Garment Upper body,Short-sleeved bodysuits in organic cotton jersey with press-studs at the crotch.
53,148033001,0.010938018990039055,Nouvelle 1p Stay Up,Garment Lower body,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
54,148033006,0.008851717193320095,Nouvelle 1p Stay Up,Socks & Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
55,150959011,0.04768587570621463,THOMPSON woven sport pants,Garment Lower body,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
56,150959013,0.042456550981974664,THOMPSON woven sport pants,Garment Lower body,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
57,153115019,0.022939282916133494,OP Strapless^,Underwear,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
58,153115020,0.02249895036768552,OP Strapless^,Underwear,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
59,153115021,0.021019862971745528,OP Strapless^,Underwear,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
60,153115039,0.01826800847457622,OP Strapless^,Underwear,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
61,153115040,0.024485821382007774,OP Strapless^,Underwear,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
62,153115043,0.019372229465449763,OP Strapless^,Underwear,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
63,156224001,0.005786302669599287,Box 4p Socks,Socks & Tights,Semi-matte socks with a short shaft. 20 denier.
64,156224002,0.006997492217225808,Box 4p Socks,Unknown,Semi-matte socks with a short shaft. 20 denier.
